id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
272,PH Tech,36,"3418349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0522662650,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
260,PH Tech,60,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0348603930,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
257,PH Tech,24,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0593877130,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
274,PH Tech,60,"3418349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0425563610,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
281,PH Tech,60,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0471219110,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
279,PH Tech,36,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0563247010,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
266,PH Tech,48,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0418222800,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
261,PH Tech,72,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0325115500,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
265,PH Tech,36,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0483687630,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
280,PH Tech,48,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0502828410,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
286,PH Tech,36,"3418449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 4,49%",0.0605385510,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
267,PH Tech,60,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0381931580,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
264,PH Tech,24,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0622426650,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
273,PH Tech,48,"3418349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0459590500,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
258,PH Tech,36,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0453704040,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
275,PH Tech,72,"3418349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0405663880,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
270,PH Tech,96,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0336866500,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
262,PH Tech,84,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0309761990,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
277,PH Tech,96,"3418349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,49%",0.0301479510,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
283,PH Tech,84,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0442919820,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
269,PH Tech,84,"3418299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,99%",0.0346032730,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
62,PH Tech,36,"1115349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0522043280,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
282,PH Tech,72,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0453391370,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
362,NEO,96,NCDT_096-299_318661 - CC-CB_CD,0.0318661930,t,2025-11-20 14:18:09.967951,13,0.00,benefit_card,percentual
61,PH Tech,24,"1115349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0658414540,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
284,PH Tech,96,"3418399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 3,99%",0.0385791310,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
263,PH Tech,96,"3418259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CC - 2,59%",0.0299356380,t,2025-11-20 13:33:21.347797,12,20.00,credit_card,percentual
55,PH Tech,36,"1115299 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0483188660,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
47,PH Tech,24,"1115259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0593353840,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
49,PH Tech,48,"1115259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0386215210,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
48,PH Tech,36,"1115259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0453296830,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
56,PH Tech,48,"1115299 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0417799080,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
64,PH Tech,60,"1115349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0425059830,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
50,PH Tech,60,"1115259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0348294920,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
57,PH Tech,60,"1115299 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0892124330,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
68,PH Tech,24,"1115399 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0696262460,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
65,PH Tech,72,"1115349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0405185560,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
63,PH Tech,48,"1115349 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0459044090,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
51,PH Tech,72,"1115259 - DIG+ GOV SAO PAULO - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0324828250,t,2025-11-20 03:29:55.266703,10,10.00,benefit_card,percentual
